NotificationID	NotificationTypeID	ProcessID	TimeSpooled	Message	Error	Verbose	Sent	CenterID	Origin	Active
1	21	1	2016-07-19 09:47:27	\nThe candidate info validation has passed \n	N	N	N	\N	imaging_upload_file.pl	Y
2	22	1	2016-07-19 09:47:39	\nThe dicomtar execution has successfully completed\n	N	N	N	\N	imaging_upload_file.pl	Y
3	23	1	2016-07-19 09:47:39	\n==> verifying dicom archive md5sum (checksum)\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
4	23	1	2016-07-19 09:47:40	\n-> checksum for target        :  2d9e1cf8f5d69eac796e3236e9c0ff21\n-> checksum from database :  2d9e1cf8f5d69eac796e3236e9c0ff21\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
5	23	1	2016-07-19 09:47:40	\n==> Verifying acquisition center\n-> Center Name : DCC\n-> CenterID  : 1\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
6	23	1	2016-07-19 09:47:40	\n==> Data found for candidate   : CandID: 284119- PSCID: scanner- Visit: Living_Phantom_DCC_SD_3t2- Acquired : 2009-05-27\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
7	23	1	2016-07-19 09:47:40	\n==> getSubjectIDs returned this CandID/DCCID : 284119\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
8	23	1	2016-07-19 09:47:40	\n==> Getting session ID\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
9	23	1	2016-07-19 09:47:40	\nSessionID: 2138\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
10	23	1	2016-07-19 09:47:40	\nExtracting tarchive /data/loris/data/tarchive/DCM_2009-05-27_ImagingUpload-9-47-ECpqDw.tar in /tmp/TarLoad-9-47-kjZfSd \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
11	23	1	2016-07-19 09:47:40	\ncd /tmp/TarLoad-9-47-kjZfSd ; tar -xf /data/loris/data/tarchive/DCM_2009-05-27_ImagingUpload-9-47-ECpqDw.tar\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
12	23	1	2016-07-19 09:47:40	\n<STUDY>\n<STUDY_INFO>\n* Unique Study ID          :    1.2.840.113745.101000.1022000.39911.6153.5242769\n* Patient Name             :    Living_Phantom_DCC_SD_3t2\n* Patient ID               :    D568405\n* Patient date of birth    :    1972-10-10\n* Scan Date                :    2009-05-27\n* Patient Sex              :    M\n* Scanner Model Name       :    TrioTim\n* Scanner Software Version :    syngo MR B15\n* Institution Name         :    Children's Hospital of Philadelphia-MR1\n* Modality                 :    MR\n\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
13	23	1	2016-07-19 09:47:40	\nExtracting tarchive /data/loris/data/tarchive/DCM_2009-05-27_ImagingUpload-9-47-ECpqDw.tar in /tmp/TarLoad-9-47-MbK6EF \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
14	23	1	2016-07-19 09:47:41	\ncd /tmp/TarLoad-9-47-MbK6EF ; tar -xf /data/loris/data/tarchive/DCM_2009-05-27_ImagingUpload-9-47-ECpqDw.tar\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
15	23	1	2016-07-19 09:47:41	\n<STUDY>\n<STUDY_INFO>\n* Unique Study ID          :    1.2.840.113745.101000.1022000.39911.6153.5242769\n* Patient Name             :    Living_Phantom_DCC_SD_3t2\n* Patient ID               :    D568405\n* Patient date of birth    :    1972-10-10\n* Scan Date                :    2009-05-27\n* Patient Sex              :    M\n* Scanner Model Name       :    TrioTim\n* Scanner Software Version :    syngo MR B15\n* Institution Name         :    Children's Hospital of Philadelphia-MR1\n* Modality                 :    MR\n\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
